Node_No,X,Y,Z,Total Deformation
34682,0.0075,-0.0004,-0.0352,0.0360
34683,0.0075,0.0002,-0.0349,0.0356
34684,0.0070,-0.0007,-0.0357,0.0364
34685,0.0069,0.0001,-0.0352,0.0359
34686,0.0069,-0.0008,-0.0351,0.0358
34687,0.0072,0.0005,-0.0352,0.0360
34688,-0.0010,0.0074,-0.0356,0.0364
34689,-0.0002,0.0075,-0.0354,0.0362
34690,-0.0003,0.0070,-0.0359,0.0366
34691,-0.0033,0.0067,-0.0256,0.0267
34692,-0.0041,0.0063,-0.0256,0.0267
34693,-0.0037,0.0065,-0.0259,0.0270
34694,-0.0036,0.0060,-0.0250,0.0260
34695,-0.0033,0.0063,-0.0258,0.0268
34696,-0.0033,-0.0067,-0.0354,0.0362
34697,-0.0041,-0.0063,-0.0354,0.0362
34698,-0.0037,-0.0065,-0.0351,0.0359
34699,-0.0036,-0.0060,-0.0359,0.0366
34700,-0.0035,-0.0062,-0.0354,0.0361
34701,0.0051,-0.0055,-0.0257,0.0268
34702,0.0056,-0.0050,-0.0259,0.0269
34703,0.0053,-0.0053,-0.0261,0.0271
34704,0.0052,-0.0047,-0.0256,0.0265
34705,0.0045,-0.0053,-0.0257,0.0266
34706,0.0051,0.0055,-0.0353,0.0361
34707,0.0056,0.0050,-0.0351,0.0359
34708,0.0053,0.0053,-0.0350,0.0357
34709,0.0052,0.0048,-0.0353,0.0360
34710,0.0051,0.0055,-0.0261,0.0271
34711,0.0043,0.0062,-0.0262,0.0273
34712,0.0048,0.0057,-0.0263,0.0274
34713,0.0045,0.0052,-0.0256,0.0265
34714,0.0037,0.0059,-0.0263,0.0272
34715,0.0043,0.0056,-0.0265,0.0274
34716,0.0036,0.0061,-0.0258,0.0268
34717,0.0074,-0.0014,-0.0258,0.0269
34718,0.0071,-0.0024,-0.0259,0.0269
34719,0.0073,-0.0018,-0.0261,0.0271
34720,0.0066,-0.0021,-0.0256,0.0265
34721,0.0070,-0.0016,-0.0258,0.0268
34722,0.0051,-0.0055,-0.0349,0.0357
34723,0.0043,-0.0062,-0.0348,0.0356
34724,0.0048,-0.0057,-0.0347,0.0355
34725,0.0036,-0.0060,-0.0351,0.0357
34726,0.0045,-0.0052,-0.0352,0.0359
34727,0.0039,-0.0058,-0.0359,0.0365
34728,0.0074,0.0014,-0.0352,0.0360
34729,0.0071,0.0024,-0.0352,0.0359
34730,0.0073,0.0018,-0.0349,0.0357
34731,0.0066,0.0021,-0.0355,0.0362
34732,0.0071,0.0016,-0.0352,0.0359
34733,-0.0013,0.0074,-0.0255,0.0265
34734,-0.0003,0.0075,-0.0256,0.0267
34735,-0.0010,0.0074,-0.0257,0.0268
34736,-0.0006,0.0075,-0.0259,0.0270
34737,0.0000,0.0069,-0.0255,0.0264
34738,-0.0010,0.0069,-0.0250,0.0259
34739,-0.0009,0.0071,-0.0257,0.0267
34740,-0.0013,-0.0074,-0.0355,0.0363
34741,-0.0003,-0.0075,-0.0354,0.0361
34742,-0.0010,-0.0074,-0.0353,0.0361
34743,-0.0006,-0.0075,-0.0351,0.0359
34744,-0.0005,-0.0071,-0.0351,0.0358
34745,-0.0006,-0.0071,-0.0358,0.0365
34746,0.0023,0.0071,-0.0260,0.0270
34747,0.0015,0.0073,-0.0260,0.0271
34748,0.0018,0.0073,-0.0262,0.0273
34749,0.0013,0.0068,-0.0257,0.0266
34750,0.0014,0.0068,-0.0264,0.0273
34751,0.0023,0.0068,-0.0258,0.0267
34752,0.0018,0.0069,-0.0253,0.0263
34753,0.0023,-0.0071,-0.0350,0.0358
34754,0.0015,-0.0073,-0.0350,0.0358
34755,0.0018,-0.0073,-0.0348,0.0356
34756,0.0016,-0.0070,-0.0347,0.0354
34757,0.0023,-0.0066,-0.0351,0.0358
